id,answer,cost,text,section,header,div,p,s
baek-et-al-2023-lonely-individuals-process-the-world-in-idiosyncratic-ways.pdf.tei.xml,"The main claim of this paper is that lonely individuals process the world in idiosyncratic ways, as evidenced by dissimilar neural responses compared to their peers. This suggests that being surrounded by people who see the world differently, even if they are friends, may be a risk factor for loneliness.",5.05e-4,"Loneliness is detrimental to well-being and is often accompanied by self-reported feelings of not being understood by other people. What contributes to such feelings in lonely people? We used functional MRI of 66 first-year university students to unobtrusively measure the relative alignment of people's mental processing of naturalistic stimuli and tested whether lonely people actually process the world in idiosyncratic ways. We found evidence for such idiosyncrasy: Lonely individuals' neural responses were dissimilar to those of their peers, particularly in regions of the default-mode network in which similar responses have been associated with shared perspectives and subjective understanding. These relationships persisted when we controlled for demographic similarities, objective social isolation, and individuals' friendships with each other. Our findings raise the possibility that being surrounded by people who see the world differently from oneself, even if one is friends with them, may be a risk factor for loneliness.",abstract,Abstract,0,NA,NA
bhargava-2023-experienced-love-an-empirical-account.pdf.tei.xml,"The main claim of this paper is that there are various theories seeking to explain the causes, dynamics, and consequences of love, across its many forms, and these theories offer varied perspectives on how men and women conceptualize, experience, and express their love.",2.6e-4,"Given its presumed indispensability for relationships, physical and mental health, and even longevity (see Levin, 2022), the proliferation of theories seeking to explain the causes, dynamics, and consequences of love, across its many forms, is unsurprising. These evolutionary, sociocultural, social-psychological, and clinical accounts offer sometimes varied perspectives on how men and women conceptualize, experience, and express their love (e.g.,",abstract,Abstract,0,NA,NA
bleidorn-et-al-2023-self-esteem-and-income-over-time.pdf.tei.xml,"The main claim of this paper is to examine the relationship between income and self-esteem over time, specifically looking at the within-person associations between the two variables. The study aims to provide a better understanding of the dynamics of the income-self-esteem link by analyzing data from a nationally representative study of Dutch adults.",5.08e-4,"Do people feel better about themselves when they make more money, or do people make more money when they feel better about themselves? The literature on income and self-esteem is extensive, but the nature of the relationship between these two variables is far from fully understood (Bowling et al., 2010;Kammeyer-Mueller et al., 2008;Krauss & Orth, 2022). Previous research found that people with higher incomes report higher levels of self-esteem (Twenge & Campbell, 2002). However, past studies precluded an examination of the within-person links between income and self-esteem over time. The purpose of the present study was to advance our understanding of the underlying dynamics of the income-self-esteem link by disentangling between-person from within-person associations between income and self-esteem in a nationally representative study of Dutch adults who provided annual reports of their self-esteem and income across 4 years.",abstract,Abstract,0,NA,NA
buder-et-al-2023-online-interaction-turns-the-congeniality-bias-into-an-uncongeniality-bias.pdf.tei.xml,"The main claim of this paper is that belief polarization on social media is not only driven by exposure to like-minded content (congeniality bias) but also by conflict, as evidenced by the uncongeniality bias and attitude polarization. The paper also suggests that online behavior changes when people are given an opportunity to reply to dissenters, leading to larger cognitive conflict and uncongeniality bias.",5.48e-4,"Online phenomena like echo chambers and polarization are believed to be driven by humans' penchant to selectively expose themselves to attitudinally congenial content. However, if like-minded content were the only predictor of online behavior, heated debate and flaming on the Internet would hardly occur. Research has overlooked how online behavior changes when people are given an opportunity to reply to dissenters. Three experiments (total N = 320; convenience student samples from Germany) and an internal meta-analysis show that in a discussion-forum setting where participants can reply to earlier comments larger cognitive conflict between participant attitude and comment attitude predicts higher likelihood to respond (uncongeniality bias). When the discussion climate was friendly (vs. oppositional) to the views of participants, the uncongeniality bias was more pronounced and was also associated with attitude polarization. These results suggest that belief polarization on social media may not only be driven by congeniality but also by conflict.",abstract,Abstract,0,NA,NA
cao-et-al-2023-comprehensive-social-trait-judgments-from-faces-in-autism-spectrum-disorder.pdf.tei.xml,"The main claim of this paper is that people make judgments of others' enduring dispositions upon seeing their faces, and that these judgments predict consequential behaviors in the real world. The paper also discusses the consensus and individual differences in these judgments, and raises the question of whether trait judgments from faces will be different in individuals with autism spectrum disorder (ASD) due to their different social functioning.",6.29e-4,"People spontaneously make judgments of others' enduring dispositions upon seeing their faces: Some look warm, some look competent, or some look feminine (Lin et al., 2021;Todorov et al., 2015). Although the accuracy of these trait judgments remains debated (Bonnefon et al., 2015), they predict consequential behaviors in the real world, from dating and hiring decisions (Hamermesh, 2011) to voting and courtroom sentencing (Lenz & Lawson, 2011;Wilson & Rule, 2015). Some studies have shown surprisingly high consensus between perceiver groups from different cultures and different age groups (Cogsdill et al., 2014;Hester et al., 2021;Walker et al., 2011). Other researchers have found profound individual differences in such judgments (Hester et al., 2021;Oh et al., 2022;Sutherland et al., 2020). However, it remains unclear whether trait judgments from faces will also be different because of different social functioning such as that occurs in autism spectrum disorder (ASD). Individuals with ASD show multiple deficits in various aspects of face processing, including gaze processing, discriminating and memorizing different facial identities, and recognizing emotions from facial 1192236P SSXXX10.",abstract,Abstract,0,NA,NA
chung-et-al-2023-no-fixed-limit-for-storing-simple-visual-features-realistic-objects-provide-an-efficient-scaffold-for.pdf.tei.xml,The main claim of this paper is that recent findings have suggested that working memory capacity strongly depends on the type of information being remembered and that capacity is increased for more meaningful stimuli.,3.3500000000000007e-4,"Decades of research have shown that the capacity of visual working memory-the cognitive system that holds visual information in an active state-is highly limited. However, it is still not well understood precisely what these limits are and how they arise. Although many theories of working memory postulate that the capacity is fixed-that is, in terms of fixed number of objects (Awh et al. (2007) or a fixed resource pool per visual feature (Bays et al., 2009)-recent findings have suggested that working memory capacity strongly depends on what type of information is being remembered and that capacity is increased for more meaningful stimuli (",abstract,Abstract,0,NA,NA
clark-et-al-2023-harm-hypervigilance-in-public-reactions-to-scientific-evidence.pdf.tei.xml,"The main claim of this paper is that people systematically overestimate harmful reactions to behavioral science research, and it explores the biases and cognitive tendencies that contribute to this overestimation.",6.569999999999999e-4,"Many modern comforts and luxuries-from improved health care to space exploration-can be traced to scientific advances (Pinker, 2018), yet attitudes toward science reveal considerable ambivalence (e.g., Funk, 2020). Throughout history, people have worried about the potentially harmful implications and applications of scientific findings (Shattuck, 1997), which inevitably sways scientists' decisions about what (or what not) to study (Kempner et al., 2005). We tested the hypothesis that people systematically overestimate harmful reactions to behavioral science research. Human cognition exhibits numerous systematic judgmental biases (Kahneman, 2011). Evolutionary theorists have, however, countered that some biases should be viewed not as bugs but as design features that promote fitness in environments in which certain errors are costlier than others (Haselton et al., 2016). For example, people are hyperactive agency detectors (Barrett, 2000). Failing to detect that a rustle in the bushes signals the presence of a predator (false negative) is costlier than concluding that the rustle was caused by a predator and unnecessarily elevating one's defenses (false positive), and so unexpected creaks and cracks put us on edge-usually erroneously. Hyperactive agency detection is a subtype of bias toward harm avoidance. From a very young age, humans attend to threatening stimuli (LoBue et al., 2017). Losses and negative events have greater impact on human judgment than gains and positive events of similar magnitude (Baumeister et al., 2001;Rozin & Royzman, 2001;Tversky & Kahneman, 1991). Negative, morally charged information spreads quickly (Brady et al., 2020), and people more readily dole out judgments of bad than good moral character (Clark, 2022). People also overattribute ill 1168777P SSXXX10.",abstract,Abstract,0,NA,NA
cohen-et-al-2023-perceptual-awareness-occurs-along-a-graded-continuum-no-evidence-of-all-or-none-failures-in-continuous.pdf.tei.xml,"The main claim of this paper is that there is a continuous transition from unconscious to conscious processing, leading to varying levels of vague or unclear perceptual experiences, as opposed to a discrete manner of information reaching awareness associated with all-or-nothing changes in neural activity.",2.29e-4,"Under this view, there is a continuous transition from unconscious to conscious processing leading to varying levels of vague or unclear perceptual experiences. According to other models, information reaches awareness in a discrete manner associated with all-or-nothing changes in neural activity (Carruthers",abstract,Abstract,0,NA,NA
colombatto-et-al-2023-vaccine-nationalism-counterintuitively-erodes-public-trust-in-leaders.pdf.tei.xml,"The main claim of this paper is that concerns about citizens mistrusting leaders who prioritize global needs over domestic protection are misplaced, as nationally representative samples across multiple countries with large vaccine surpluses trusted redistributive leaders more than nationalistic leaders.",4.9e-4,"Global access to resources like vaccines is key for containing the spread of infectious diseases. However, wealthy countries often pursue nationalistic policies, stockpiling doses rather than redistributing them globally. One possible motivation behind vaccine nationalism is a belief among policymakers that citizens will mistrust leaders who prioritize global needs over domestic protection. In seven experiments (total N = 4,215 adults), we demonstrate that such concerns are misplaced: Nationally representative samples across multiple countries with large vaccine surpluses (Australia, Canada, United Kingdom, and United States) trusted redistributive leaders more than nationalistic leaderseven the more nationalistic participants. This preference generalized across different diseases and manifested in both self-reported and behavioral measures of trust. Professional civil servants, however, had the opposite intuition and predicted higher trust in nationalistic leaders, and a nonexpert sample also failed to predict higher trust in redistributive leaders. We discuss how policymakers' inaccurate intuitions might originate from overestimating others' self-interest.",abstract,Abstract,0,NA,NA
conci-et-al-2023-learning-induced-plasticity-enhances-the-capacity-of-visual-working-memory.pdf.tei.xml,"The main claim of this paper is that visual working memory (VWM) of objects is boosted by long-term memory associations with meaning, and that short-term retention is enhanced after learning meaningful associations with initially meaningless stimuli.",4.83e-4,"Visual working memory (VWM) is limited in capacity, though memorizing meaningful objects may refine this limitation. However, meaningful and meaningless stimuli typically differ perceptually, and objects' associations with meaning are usually already established outside the laboratory, potentially confounding experimental findings. Here, in two experiments with young adults (N = 45 and N = 20), we controlled for these influences by having observers actively learn associations of (for them) initially meaningless stimuli: Chinese characters, half of which were consistently paired with pictures of animals or everyday objects in a learning phase. This phase was preceded and followed by a (preand postlearning) change-detection task to assess VWM performance. The results revealed that short-term retention was enhanced after learning, particularly for meaning-associated characters, although participants did not quite reach the accuracy level attained by native Chinese observers (young adults, N = 20). These results thus provide direct experimental evidence that participants' VWM of objects is boosted by them having acquired a long-term-memory association with meaning.",abstract,Abstract,0,NA,NA
